id;Firstname;Lastname;Adress;RegistrationDate;Revenue;States
6010;Gerald;Arthur;San Marcos;23/07/1998;72265;NJ
6011;Zachary;Washington;Apalachee Parkway;05/10/2000;86847;IA
6012;George;Taft;Lake Tahoe Blvd.;11/10/2000;45810;VA
6013;Jimmy;Eisenhower;Cerrillos Road;27/11/1998;57672;MI
6014;Rutherford;Truman;Hutchinson Rd;06/09/2001;80925;OR
6015;Ronald;Carter;124th;05/11/2001;86704;WI
6016;Ulysses;Polk;Cabrillo Highway;15/01/2006;48628;KS
6017;William;Johnson;Fontaine Road;31/01/1998;66453;NM
6018;William;Madison;Woodson Rd.;07/01/2000;75006;CT
6019;Thomas;Van Buren;Steele Lane;22/10/2001;75067;MT
6020;Ulysses;Johnson;Camelback Rd;29/11/2002;67659;KY
6021;Woodrow;Harding;Tanger Blvd;29/06/1999;88399;CA
6022;Gerald;Clinton;W. Russell St.;10/08/1998;63396;OH
6023;Chester;Jefferson;Burnett Road;10/02/2001;63330;VT
6024;Benjamin;Carter;San Simeon;02/08/1998;47189;AR
6025;Dwight;Eisenhower;East Main Street;04/01/1998;32338;MN
6026;Herbert;Adams;Richmond Hill;02/08/2002;52352;AR
6027;Herbert;Monroe;Tanger Blvd;06/05/1998;29314;MN
6028;Ulysses;Taylor;Lindbergh Blvd;28/11/2000;92002;UT
6029;Gerald;Roosevelt;Santa Rosa North;15/03/2005;26647;DE
6030;Dwight;McKinley;Tully Road East;22/04/2000;11741;OK
6031;George;Madison;W. Russell St.;30/04/2000;63520;MT
6032;Zachary;Eisenhower;East Fry Blvd.;09/07/2001;73614;CA
6033;Rutherford;Hayes;N Kentwood;11/06/2005;25504;VT
6034;John;Roosevelt;North Erringer Road;14/06/2000;21291;TN
6035;Millard;Reagan;Fairview Avenue;04/04/2005;65366;LA
6036;George;Grant;Harry S Truman Blvd;09/12/2003;46529;OK
6037;William;Truman;North Preisker Lane;14/01/2002;45142;MA
6038;Theodore;Washington;Timberlane Drive;03/03/2006;56848;SD
6039;Calvin;Tyler;El Camino Real;31/10/2003;69455;ID
6040;Rutherford;Reagan;Castillo Drive;19/09/2006;34494;ND
6041;Martin;Cleveland;Fairview Avenue;03/05/2000;40089;NH
6042;Jimmy;Reagan;East 1st Street;15/03/1998;46620;MS
6043;Jimmy;Wilson;North Ventu Park Road;10/05/1998;31808;MN
6044;Grover;Garfield;Santa Rosa North;24/07/2004;86743;IL
6045;Woodrow;Wilson;San Marcos;21/11/1999;49427;NH
6046;John;Adams;Lake Tahoe Blvd.;29/12/1998;17424;RI
6047;Franklin;Monroe;S Rustle St;17/11/2003;66127;IL
6048;Jimmy;Fillmore;Jones Road;13/06/1998;64240;MI
6049;Chester;Harrison;Carpinteria Avenue;15/07/2004;73037;NC
6050;Martin;Reagan;Erringer Road;30/10/2001;60946;LA
6051;Jimmy;Pierce;Via Real;30/04/2004;50037;HI
6052;Zachary;Taft;El Camino Real;02/10/2005;55950;WY
6053;Woodrow;Lincoln;San Simeon;25/07/2005;37850;CT
6054;Warren;Harrison;North Erringer Road;20/12/1998;29984;AZ
6055;Theodore;Eisenhower;Cabrillo Highway;16/08/1998;41341;KY
6056;Richard;Quincy Adams;Santa Rosa North;21/05/1998;75067;AK
6057;Gerald;Harding;Lake Tahoe Blvd.;21/10/2000;34104;LA
6058;Millard;Johnson;Castillo Drive;28/09/2000;44695;AZ
6059;Andrew;Wilson;Cleveland Ave.;18/10/2001;64267;TX
6060;William;Reagan;Fairview Avenue;22/11/2002;25279;NJ
6061;George;Fillmore;South Roosevelt Drive;09/10/2004;11579;MD
6062;Dwight;Taylor;Carpinteria South;14/09/2000;98855;MA
6063;William;Johnson;W. Russell St.;16/02/2001;75718;SD
6064;Gerald;Taylor;Castillo Drive;10/08/2002;27009;WY
6065;William;McKinley;Bayshore Freeway;19/10/2004;15864;WV
6066;Abraham;Adams;Castillo Drive;30/09/2003;26097;TN
6067;Theodore;Reagan;Santa Monica Road;08/04/2002;21522;ME
6068;Herbert;Johnson;San Diego Freeway;05/10/2001;23669;ND
6069;Gerald;Grant;Carpinteria Avenue;20/02/1998;64591;IA
6070;James;Taft;Bailard Avenue;20/03/2000;96177;SD
6071;Grover;Truman;Santa Monica Road;12/05/2003;72683;MO
6072;Richard;Pierce;South Highway;12/08/1999;17912;CO
6073;Zachary;McKinley;Cerrillos Road;05/02/2002;23697;MS
6074;Herbert;Tyler;124th;21/01/2003;81205;IA
6075;Abraham;Ford;Santa Rosa South;03/03/2005;51635;NM
6076;Herbert;Taft;Apalachee Parkway;23/07/2000;37872;NJ
6077;Woodrow;McKinley;120th;05/03/2001;23672;MA
6078;Gerald;Taylor;San Simeon;02/12/2003;31906;CT
6079;Martin;Polk;North Ventu Park Road;15/03/2003;28481;WA
6080;Franklin;Polk;Carpinteria Avenue;14/04/2006;13430;HI
6081;Grover;Tyler;Corona Del Mar;04/03/2002;65802;SC
6082;Zachary;Clinton;Bayshore Freeway;18/04/2001;63874;RI
6083;Abraham;Ford;Jones Road;29/10/2006;17256;WA
6084;Abraham;Taft;Santa Monica Road;16/11/1998;12447;TX
6085;William;Jefferson;Lindbergh Blvd;28/04/1999;78426;MN
6086;Thomas;Reagan;San Marcos;21/08/2001;53811;MO
6087;Grover;Polk;Carpinteria South;04/06/2004;32167;RI
6088;Jimmy;Roosevelt;Monroe Street;06/12/2004;27031;MI
6089;Theodore;Johnson;Santa Rosa South;29/05/2002;63185;TX
6090;Thomas;Pierce;Santa Rosa South;28/06/2002;55780;FL
6091;John;Ford;East Fry Blvd.;24/06/2000;53849;TN
6092;Rutherford;Arthur;Camelback Rd;19/09/2006;29772;MN
6093;Chester;Fillmore;Santa Rosa North;27/11/2001;61271;OH
6094;Grover;McKinley;San Diego Freeway;09/08/2002;87465;DE
6095;Warren;Johnson;East 1st Street;22/09/1998;85611;VA
6096;Zachary;Fillmore;Castillo Drive;05/04/2006;30000;NE
6097;John;Monroe;Lake Tahoe Blvd.;02/02/2006;29668;MT
6098;Chester;Ford;Greenwood Road;28/01/2003;96408;CA
6099;Zachary;Adams;San Marcos;06/04/2003;29687;KY
6100;Andrew;Pierce;Santa Rosa North;02/07/1999;40036;UT
6101;Gerald;Wilson;Moreno Drive;05/03/2006;77426;SD
6102;Jimmy;Buchanan;Bailard Avenue;16/06/1999;16262;WA
6103;Harry;Ford;East Main Street;09/09/2001;13490;PA
6104;Thomas;Washington;East Fry Blvd.;20/05/2004;41432;MD
6105;Lyndon;Arthur;Redwood Highway;03/06/2004;71886;HI
6106;Calvin;Johnson;Lindbergh Blvd;21/11/2000;93052;IA
6107;William;Harrison;Newbury Road;23/03/2002;85855;OK
6108;Millard;Taft;Westside Freeway;12/01/1999;41237;TX
6109;Warren;Jackson;Apalachee Parkway;12/04/2006;54940;IN
6110;Andrew;Johnson;Calle Real;25/03/2004;41404;VT
6111;James;Clinton;Newbury Road;29/10/1998;93299;CA
6112;Benjamin;Tyler;Fairview Avenue;27/10/2003;38229;MA
6113;Bill;Washington;Monroe Street;02/07/2003;29281;IA
6114;Ronald;Kennedy;East Main Street;06/03/2004;90824;DE
6115;Jimmy;Tyler;Apalachee Parkway;28/04/1999;96254;CO
6116;Theodore;Coolidge;Castillo Drive;16/07/2001;79187;MS
6117;Theodore;Truman;South Highway;09/04/2002;14658;CO
6118;Martin;Kennedy;San Simeon;22/05/2003;51910;AL
6119;George;Hoover;S Rustle St;15/07/1999;65338;VT
6120;Chester;Madison;Padre Boulevard;01/07/2001;45115;TN
6121;Warren;Fillmore;Tully Road East;02/05/2006;14114;AZ
6122;Franklin;Eisenhower;Hutchinson Rd;06/08/2004;92645;DE
6123;Millard;Polk;Erringer Road;30/05/2002;27592;MT
6124;Theodore;Taft;Bailard Avenue;26/08/2004;67514;NV
6125;Martin;Lincoln;Camelback Rd;11/02/2000;70246;NV
6126;Rutherford;Garfield;Pacific Hwy S;10/10/2002;74608;IL
6127;Chester;Hayes;Timberlane Drive;17/02/2001;32730;CT
6128;Calvin;Madison;San Luis Obispo North;29/09/2004;44618;WV
6129;James;Johnson;Bailard Avenue;02/11/2003;51454;NY
6130;Abraham;Washington;N Kentwood;15/03/2004;59252;OK
6131;Lyndon;Roosevelt;124th;04/04/1998;29396;NC
6132;George;Johnson;Jones Road;30/05/1998;57656;MT
6133;Calvin;Lincoln;Timberlane Drive;02/09/2002;68184;ND
6134;Martin;Kennedy;N Harrison St;27/08/2000;94136;KS
6135;Woodrow;Quincy Adams;Harbor Dr;31/10/2006;11406;CA
6136;Benjamin;Coolidge;Lawrenceville Suwanee;21/04/2004;67085;PA
6137;Warren;Buchanan;North Ventu Park Road;30/10/2001;79187;KS
6138;George;Coolidge;S Rustle St;18/06/2006;89190;IL
6139;Dwight;Taft;Greenwood Road;14/07/2006;74004;SC
6140;Rutherford;Roosevelt;124th;31/03/2001;58862;HI
6141;Lyndon;Reagan;Moreno Drive;19/09/2000;37760;AK
6142;Andrew;Fillmore;San Simeon;11/09/2005;52948;MT
6143;Benjamin;Nixon;Santa Rosa South;09/10/1998;20104;MD
6144;John;Fillmore;San Luis Obispo North;27/04/2001;10672;IL
6145;Millard;Hoover;Monroe Street;15/01/2003;38004;WY
6146;Woodrow;Adams;North Preisker Lane;01/04/1998;58821;AR
6147;Herbert;Carter;Santa Ana Freeway;28/10/1998;46560;VA
6148;Millard;Johnson;Greenwood Road;05/01/2006;38196;SC
6149;Zachary;Coolidge;Cabrillo Highway;09/12/1999;11073;LA
6150;George;Tyler;Newbury Road;23/12/2000;31316;MO
6151;Herbert;Garfield;Pacific Hwy S;19/12/2000;80384;AZ
6152;Warren;Harrison;North Atherton Street;06/05/1998;91349;VT
6153;Harry;Tyler;Santa Rosa South;07/02/1998;51418;OR
6154;Thomas;Monroe;Carpinteria North;31/10/2003;72315;AL
6155;James;Roosevelt;Cabrillo Highway;07/08/2006;15026;TN
6156;Abraham;Clinton;Redwood Highway;19/12/2006;10532;NV
6157;Richard;Hoover;North Ventu Park Road;29/11/2002;23043;ND
6158;Andrew;Carter;Lindbergh Blvd;21/12/2006;67310;NE
6159;Gerald;Eisenhower;Katella Avenue;14/05/1998;36609;WA
6160;Millard;Jackson;Santa Ana Freeway;30/04/1999;32895;MD
6161;Chester;Arthur;Katella Avenue;20/07/2001;65750;NY
6162;Ulysses;Roosevelt;Newbury Road;26/11/2003;11658;MA
6163;Harry;Washington;W. Russell St.;07/04/2004;50180;TN
6164;Rutherford;Jefferson;South Roosevelt Drive;07/10/1999;38562;NJ
6165;John;Grant;San Diego Freeway;19/02/2000;21392;AK
6166;Abraham;Johnson;San Luis Obispo North;30/07/2000;66830;WY
6167;Benjamin;Jefferson;El Camino Real;23/10/1999;95963;AZ
6168;Warren;Johnson;Bowles Avenue;22/08/2000;56906;ND
6169;William;Quincy Adams;Harry S Truman Blvd;31/10/2006;30129;TN
6170;Thomas;Taylor;Camelback Rd;20/07/1998;76652;MS
6171;Gerald;Johnson;Cleveland Ave.;11/02/1999;45607;OK
6172;Woodrow;Roosevelt;Bailard Avenue;22/06/1999;52783;VA
6173;Harry;Lincoln;Padre Boulevard;02/01/2006;46664;UT
6174;Chester;Pierce;N Harrison St;28/01/2005;73573;ID
6175;Franklin;Taylor;Corona Del Mar;18/01/2002;18437;HI
6176;Millard;Adams;N Harrison St;19/01/2000;72787;MO
6177;John;Harrison;Castillo Drive;21/04/2004;76503;MT
6178;Harry;Taylor;Castillo Drive;08/04/1998;64899;FL
6179;Woodrow;Hayes;Grandview Drive;06/05/2004;77703;OR
6180;Herbert;Harding;Via Real;25/07/2004;31508;CO
6181;Lyndon;Ford;124th;29/10/2004;52207;IL
6182;Grover;Buchanan;North Atherton Street;05/03/2000;89055;WI
6183;Dwight;Hoover;Katella Avenue;27/09/1998;16836;CA
6184;Franklin;Kennedy;Camelback Rd;24/09/2005;37762;AZ
6185;Martin;Quincy Adams;Carpinteria South;23/03/1999;69634;HI
6186;Rutherford;Roosevelt;San Diego Freeway;15/12/2005;91827;NC
6187;Thomas;Ford;South Highway;27/01/2003;45683;NM
6188;Warren;Garfield;Cleveland Ave.;02/12/2005;90863;OK
6189;Zachary;Harrison;San Ysidro Blvd;24/10/2004;84188;AL
6190;Grover;Taylor;El Camino Real;22/12/2002;72609;LA
6191;Grover;Hoover;Woodson Rd.;11/06/1998;36776;OK
6192;Ronald;Adams;San Ysidro Blvd;09/04/2000;46859;SD
6193;Martin;Hoover;Westside Freeway;30/09/2002;57085;ME
6194;Richard;Truman;Santa Ana Freeway;07/12/1998;50666;ME
6195;Ronald;Roosevelt;Hutchinson Rd;23/04/2002;31571;IN
6196;Herbert;Washington;Santa Monica Road;28/10/2004;34785;VA
6197;Richard;Reagan;Bailard Avenue;31/01/2002;11584;UT
6198;James;Buchanan;El Camino Real;27/12/2004;31371;NY
6199;James;Harrison;Richmond Hill;18/08/2006;26693;PA
6200;Benjamin;Clinton;Cabrillo Highway;27/08/2003;62921;HI
6201;Franklin;Lincoln;Santa Monica Road;13/12/2004;89248;SC
6202;Gerald;Carter;Richmond Hill;26/11/2000;62468;OR
6203;Calvin;Monroe;N Kentwood;23/12/2005;30198;AL
6204;Woodrow;Hayes;Jones Road;21/12/2003;75028;CT
6205;Chester;Washington;Bayshore Freeway;29/08/1998;66184;NM
6206;Ulysses;Van Buren;San Luis Obispo North;21/02/1999;20302;NJ
6207;Dwight;Arthur;124th;05/09/1998;27822;ID
6208;William;Johnson;Katella Avenue;10/04/2001;96608;LA
6209;Abraham;Buchanan;W. Russell St.;24/10/2001;39309;ID
6210;Dwight;Polk;Milpas Street;30/12/2000;26089;CO
6211;Lyndon;Van Buren;South Highway;28/11/2005;39221;OR
6212;Herbert;Jefferson;South Highway;16/06/1998;21151;NJ
6213;Zachary;Garfield;South Highway;19/06/2002;32588;ID
6214;Theodore;Taylor;S Rustle St;29/09/2006;52160;KS
6215;Jimmy;Tyler;15th;11/11/2000;84227;KY
6216;Herbert;Jackson;Moreno Drive;07/12/2006;26389;CO
6217;Gerald;Pierce;Woodson Rd.;19/03/2004;53286;IA
6218;Ulysses;Taylor;Hutchinson Rd;27/09/1998;68206;MN
6219;Theodore;Truman;Erringer Road;02/11/1999;59095;TN
6220;Gerald;Grant;Corona Del Mar;13/10/2002;90533;NE
6221;Martin;Hoover;Katella Avenue;06/05/2000;58216;CO
6222;George;McKinley;N Kentwood;16/07/2005;97531;NE
6223;Ronald;Reagan;124th;18/05/2000;62765;MS
6224;Calvin;Nixon;Pacific Hwy S;05/11/1999;48543;NH
6225;Andrew;Wilson;Corona Del Mar;11/12/2001;99995;IL
6226;William;Cleveland;Bailard Avenue;22/01/2004;93302;FL
6227;Harry;Ford;Santa Monica Road;26/05/2000;93098;WA
6228;Zachary;Tyler;N Kentwood;11/11/2005;98361;MT
6229;Gerald;Kennedy;Grandview Drive;14/01/2003;23290;ME
6230;Dwight;Arthur;French Camp Turnpike Road;29/08/2001;84798;AK
6231;Dwight;Lincoln;San Simeon;25/04/1999;13125;VT
6232;Bill;Hoover;Carpinteria Avenue;11/08/2005;47164;DE
6233;William;Johnson;Castillo Drive;13/09/1999;61067;HI
6234;Warren;Kennedy;Tully Road East;20/04/2001;53671;HI
6235;Chester;Harrison;Jones Road;23/02/1999;57313;TN
6236;Zachary;Ford;Calle Real;05/01/1998;87633;WI
6237;Gerald;Madison;South Highway;10/03/2000;80851;PA
6238;Ulysses;Cleveland;Calle Real;25/08/2002;80173;OK
6239;Theodore;Wilson;Apalachee Parkway;01/09/2005;77797;OH
6240;Gerald;McKinley;North Ventu Park Road;05/04/2006;44165;NJ
6241;Ronald;Taft;San Simeon;30/01/1999;90956;PA
6242;Benjamin;Roosevelt;San Marcos;18/03/2003;39424;NH
6243;Harry;Lincoln;South Roosevelt Drive;13/07/2002;50641;ME
6244;John;Lincoln;North Preisker Lane;14/12/2006;59161;DE
6245;Chester;Carter;Harry S Truman Blvd;11/05/2005;26751;HI
6246;Andrew;Harding;Grandview Drive;16/06/1999;17665;MO
6247;Richard;Taylor;San Marcos;10/05/2006;42083;TN
6248;Andrew;Garfield;Richmond Hill;20/03/2003;19258;MO
6249;Thomas;Fillmore;South Highway;05/08/1998;76910;FL
6250;Herbert;Harrison;Timberlane Drive;09/12/2005;98487;RI
6251;Bill;Harding;San Diego Freeway;28/11/2004;84793;KY
6252;Ulysses;Clinton;Steele Lane;26/10/1998;61575;ME
6253;Calvin;Taft;Bailard Avenue;04/01/2002;19654;CO
6254;Woodrow;Jackson;Grandview Drive;08/06/2002;59106;MD
6255;James;Ford;Newbury Road;09/03/2003;54107;PA
6256;Dwight;Nixon;South Highway;24/04/1999;89978;OK
6257;John;Roosevelt;Lake Tahoe Blvd.;28/08/2002;89009;ND
6258;Jimmy;Buchanan;Redwood Highway;18/01/1998;56593;AR
6259;Theodore;Jefferson;120th;20/07/2006;84293;ME
6260;James;Van Buren;Steele Lane;20/02/2004;11312;MS
6261;Ronald;Tyler;S Rustle St;03/07/2006;41039;WA
6262;Abraham;Fillmore;N Kentwood;08/05/2005;54138;VT
6263;Abraham;Nixon;Castillo Drive;15/11/2003;84793;ME
6264;Warren;Fillmore;East 1st Street;13/10/1998;61669;NE
6265;Herbert;Grant;Fontaine Road;03/08/2003;20126;RI
6266;Zachary;Madison;San Luis Obispo North;02/07/2005;57291;TX
6267;Grover;Buchanan;Fairview Avenue;17/08/2004;66475;NE
6268;Ronald;Quincy Adams;Harry S Truman Blvd;09/11/2000;52621;OH
6269;Martin;Harrison;Redwood Highway;12/02/2005;75196;WY
6270;Lyndon;Coolidge;Westside Freeway;16/05/2003;80214;NC
6271;Benjamin;Van Buren;N Kentwood;18/01/2004;17885;HI
6272;Jimmy;Jefferson;Santa Rosa South;10/04/1998;57486;MN
6273;Thomas;Harrison;Carpinteria Avenue;14/08/1999;35969;CT
6274;Dwight;Kennedy;Lindbergh Blvd;01/09/2001;21934;CT
6275;Zachary;Clinton;Monroe Street;22/03/2002;51493;TN
6276;Andrew;Madison;East Main Street;28/04/2004;17566;VT
6277;Millard;Pierce;Via Real;13/01/1999;19223;OH
6278;Calvin;Johnson;Jones Road;25/01/2002;82598;NY
6279;Martin;Harrison;North Erringer Road;27/03/2005;99943;NM
6280;Franklin;Arthur;Tanger Blvd;01/11/2004;68401;ND
6281;Warren;Quincy Adams;Tanger Blvd;15/11/2003;35038;NJ
6282;Gerald;Carter;Jones Road;30/04/2006;99704;WY
6283;Zachary;Washington;Santa Rosa North;23/04/1999;62306;NC
6284;Grover;Cleveland;San Ysidro Blvd;16/04/2004;56022;VT
6285;Theodore;Cleveland;Jean de la Fontaine;30/04/2004;43039;SC
6286;Zachary;Polk;Corona Del Mar;06/06/1999;54371;UT
6287;Benjamin;Adams;East Main Street;18/11/2005;40330;ME
6288;Ronald;Pierce;Erringer Road;08/12/1999;43195;AK
6289;Harry;McKinley;Hutchinson Rd;27/05/1999;98655;MD
6290;Thomas;Truman;N Harrison St;31/08/2004;37578;MN
6291;Martin;McKinley;El Camino Real;13/10/2001;34686;NC
6292;James;Tyler;124th;02/12/2000;95677;AZ
6293;Jimmy;Reagan;North Erringer Road;03/01/1998;49367;AZ
6294;Andrew;Pierce;Camelback Rd;30/10/2003;36422;OH
6295;Woodrow;Roosevelt;Cabrillo Highway;30/04/2001;91228;CA
6296;Rutherford;Taft;120th;04/06/2002;68461;MS
6297;Warren;Monroe;North Ventu Park Road;20/02/2002;40954;NY
6298;Rutherford;Johnson;Padre Boulevard;10/04/2001;80359;OH
6299;Calvin;Nixon;Corona Del Mar;12/06/2003;87223;GA
6300;Harry;Harrison;Corona Del Mar;09/10/2004;22030;KY
6301;Herbert;Jackson;San Luis Obispo North;17/12/1998;33749;NE
6302;Warren;Carter;Bowles Avenue;27/01/1998;27457;TX
6303;Zachary;McKinley;Jones Road;27/10/2001;57626;ND
6304;Grover;Washington;Cerrillos Road;29/07/2005;98608;NY
6305;Woodrow;Garfield;Woodson Rd.;10/12/2006;38883;AZ
6306;Franklin;Fillmore;South Highway;20/02/2002;70653;NE
6307;Harry;Hayes;Katella Avenue;30/12/2003;71312;ME
6308;Thomas;Tyler;Erringer Road;31/10/2000;38399;SD
6309;Grover;Tyler;Corona Del Mar;28/12/2004;84537;MS
6310;Martin;Coolidge;Greenwood Road;09/05/2002;73990;MI
6311;Richard;Arthur;Apalachee Parkway;08/07/2005;17333;UT
6312;Rutherford;Buchanan;Westside Freeway;26/01/2004;45851;IN
6313;Thomas;Harrison;Padre Boulevard;27/07/2005;92197;WV
6314;Ulysses;McKinley;San Luis Obispo North;03/09/2005;78882;MS
6315;Bill;Carter;South Roosevelt Drive;18/01/2000;21167;CA
6316;Grover;Johnson;Cabrillo Highway;20/06/2002;35903;CO
6317;Abraham;Nixon;Apalachee Parkway;27/10/2001;22895;NV
6318;James;Hayes;Carpinteria North;12/04/2002;90352;NC
6319;Lyndon;Buchanan;Carpinteria South;27/06/1998;50968;AK
6320;Ulysses;Madison;Lawrenceville Suwanee;25/12/2002;50226;ME
6321;Martin;Truman;East Fry Blvd.;08/09/2004;23469;WY
6322;Ulysses;Ford;15th;06/09/2002;43286;PA
6323;Franklin;Van Buren;North Broadway Street;10/02/2003;63811;NY
6324;Andrew;Pierce;Redwood Highway;21/06/2006;43483;WV
6325;Abraham;Ford;Cabrillo Highway;22/01/1999;32802;WI
6326;Bill;Quincy Adams;Pacific Hwy S;10/11/2002;38682;MS
6327;Millard;Truman;Corona Del Mar;10/09/1999;61957;VT
6328;Millard;Truman;Jones Road;23/10/1999;29577;NH
6329;Rutherford;Taylor;Via Real;12/11/1998;18080;MA
6330;Richard;Nixon;Pacific Hwy S;19/05/2003;39905;OH
6331;Herbert;Taylor;Newbury Road;11/08/2003;59081;DE
6332;Ronald;Johnson;Via Real;11/01/2002;47892;LA
6333;Martin;Jefferson;North Erringer Road;25/03/2003;31044;MA
6334;Chester;Hoover;San Diego Freeway;08/07/2001;18934;MO
6335;Ronald;Johnson;Westside Freeway;03/01/1998;46546;ND
6336;James;Fillmore;Hutchinson Rd;09/06/2002;39559;MI
6337;George;Harrison;San Marcos;29/07/2006;84229;MO
6338;Grover;Johnson;Harbor Dr;22/05/2001;12606;IN
6339;Dwight;Pierce;San Marcos;16/11/2006;49628;IA
6340;Calvin;Carter;San Diego Freeway;28/09/2006;83688;SD
6341;Thomas;Pierce;Monroe Street;06/10/1999;27226;DE
6342;Grover;Clinton;Burnett Road;26/01/2006;88874;ND
6343;Theodore;Coolidge;Timberlane Drive;20/03/2006;93788;NM
6344;Martin;Nixon;Corona Del Mar;05/03/2002;93639;WV
6345;Harry;Jefferson;East Main Street;16/03/1998;52924;OK
6346;Rutherford;Hayes;Bailard Avenue;26/09/2000;43058;MN
6347;Richard;Taylor;Newbury Road;20/02/2006;80909;AL
6348;Theodore;Carter;Hutchinson Rd;13/08/2003;53250;VT
6349;Woodrow;Grant;San Luis Obispo North;29/12/2006;33760;NY
6350;Abraham;Roosevelt;San Diego Freeway;05/10/1998;84084;AZ
6351;Herbert;Polk;San Marcos;04/01/1998;25551;MA
6352;Herbert;Johnson;Erringer Road;22/09/2000;73103;MS
6353;John;Roosevelt;San Luis Obispo North;15/01/2004;27982;ND
6354;Zachary;Lincoln;Tully Road East;08/11/2006;80744;MA
6355;John;Quincy Adams;Erringer Road;19/07/2000;21200;MO
6356;Ulysses;Hayes;Cerrillos Road;22/01/2004;86767;MD
6357;William;Lincoln;Padre Boulevard;03/03/2004;65877;KS
6358;Herbert;Johnson;Grandview Drive;19/03/1999;67950;OR
6359;Dwight;Wilson;S Rustle St;22/12/2006;26515;ME
6360;William;Roosevelt;Cerrillos Road;15/03/2001;87045;AZ
6361;Benjamin;Roosevelt;Milpas Street;12/04/2006;26037;CO
6362;Warren;Washington;Cerrillos Road;04/08/1999;32964;CA
6363;Richard;Harrison;Jones Road;20/02/2004;11587;KS
6364;Ulysses;Johnson;Hutchinson Rd;20/11/2002;92233;NM
6365;Jimmy;Truman;Lindbergh Blvd;10/06/2003;51611;WV
6366;George;Johnson;San Diego Freeway;22/06/2001;61677;IL
6367;Zachary;Reagan;Tanger Blvd;15/08/2000;14174;MA
6368;Warren;Jackson;Richmond Hill;15/02/1999;22367;NV
6369;John;Polk;Jones Road;10/01/2002;66539;KS
6370;Franklin;Buchanan;E Fowler Avenue;06/03/2005;34829;HI
6371;John;Truman;Bayshore Freeway;15/11/2000;15971;NC
6372;William;Johnson;Apalachee Parkway;28/04/2005;25468;MA
6373;Zachary;Eisenhower;North Erringer Road;07/11/2004;11818;NJ
6374;William;Carter;W. Russell St.;29/12/2000;44283;MD
6375;Franklin;Nixon;Redwood Highway;06/05/2006;88836;AL
6376;John;Clinton;Lake Tahoe Blvd.;03/06/2000;83795;HI
6377;Warren;Harrison;El Camino Real;14/04/2003;81744;KS
6378;Gerald;Harrison;Bailard Avenue;13/04/2006;89258;ME
6379;Grover;Johnson;Cerrillos Road;11/08/1998;91060;AL
6380;Benjamin;Washington;Timberlane Drive;01/01/2000;70095;HI
6381;Franklin;Harding;W. Russell St.;15/05/2005;60161;WA
6382;Theodore;Buchanan;Woodson Rd.;19/08/2003;42594;AK
6383;Ronald;Quincy Adams;Camelback Rd;20/06/2003;83611;ID
6384;Rutherford;Washington;East 1st Street;03/06/2003;73855;GA
6385;Bill;Jefferson;Apalachee Parkway;20/12/2000;96721;VT
6386;Calvin;Fillmore;North Atherton Street;15/12/2004;66989;OR
6387;Rutherford;Nixon;E Fowler Avenue;09/02/2002;26380;ME
6388;William;Wilson;East Main Street;12/12/2003;97553;MD
6389;Herbert;Cleveland;Grandview Drive;13/11/1998;43118;MA
6390;Rutherford;Garfield;Tanger Blvd;24/08/1998;41253;IA
6391;Gerald;Roosevelt;East Calle Primera;15/03/2004;14435;UT
6392;James;Adams;East Main Street;13/11/1998;22895;IN
6393;James;Kennedy;E Fowler Avenue;26/11/2000;49356;SD
6394;Ulysses;Lincoln;Corona Del Mar;30/08/2004;66566;MT
6395;Ulysses;Tyler;East Calle Primera;18/01/2004;64267;CT
6396;Lyndon;McKinley;Bayshore Freeway;12/08/1999;27089;NH
6397;Woodrow;Johnson;15th;09/02/2003;79980;OK
6398;Martin;Kennedy;French Camp Turnpike Road;14/09/2003;72716;OH
6399;Benjamin;Roosevelt;Newbury Road;06/09/1999;80049;RI
6400;Andrew;Reagan;San Luis Obispo North;24/11/2005;99072;IL
6401;Thomas;Adams;Lindbergh Blvd;23/10/2005;60342;MT
6402;Benjamin;Polk;Westside Freeway;13/04/2001;54352;TN
6403;Ulysses;Hoover;Katella Avenue;02/01/2003;89871;NY
6404;Harry;Wilson;Corona Del Mar;02/11/2006;95771;AR
6405;George;Jackson;San Ysidro Blvd;11/10/2005;22845;IN
6406;George;Hoover;Timberlane Drive;18/11/2001;37243;MN
6407;Andrew;Eisenhower;El Camino Real;03/12/2004;32008;ND
6408;Martin;Eisenhower;Bailard Avenue;27/01/2000;68351;ID
6409;Bill;Taylor;Santa Monica Road;30/04/2006;73191;NE
6410;Herbert;Carter;120th;29/01/2001;44519;IN
6411;Grover;Grant;Katella Avenue;18/06/2003;81153;OR
6412;Franklin;Polk;Castillo Drive;19/11/2001;48469;AK
6413;Zachary;Adams;N Harrison St;19/06/2000;86633;LA
6414;Grover;Adams;Hutchinson Rd;29/08/2004;62918;UT
6415;Ulysses;Truman;Santa Monica Road;16/11/2004;74679;ME
6416;Lyndon;Fillmore;Cleveland Ave.;05/05/2003;14515;NC
6417;Rutherford;Taft;Santa Rosa South;29/12/1998;34222;MN
6418;Thomas;Jackson;Tully Road East;30/09/2002;99050;HI
6419;Ronald;Quincy Adams;San Marcos;23/10/2006;18885;NH
6420;Ulysses;Harrison;Cleveland Ave.;29/05/1998;37875;GA
